id,SalePrice
1461,121309.547475
1462,160096.588574
1463,177557.887931
1464,198593.881001
1465,197696.26378
1466,173209.881655
1467,173181.790177
1468,164847.421401
1469,184245.688387
1470,119170.922263
1471,193888.391166
1472,98220.9047012
1473,99391.4519632
1474,149638.09089
1475,115884.553261
1476,362363.871857
1477,250249.917619
1478,276114.488629
1479,265123.370704
1480,507806.746423
1481,330520.535381
1482,209842.517794
1483,176075.6535
1484,162174.157566
1485,180782.843697
1486,194346.852874
1487,320096.26086
1488,236107.255476
1489,192304.603621
1490,224389.816817
1491,193471.178305
1492,92236.3801605
1493,173551.578744
1494,287091.029159
1495,290156.712079
1496,231139.625977
1497,178225.692436
1498,166334.176138
1499,159581.032968
1500,156904.682079
1501,178295.659811
1502,147188.783452
1503,274661.710211
1504,246712.943249
1505,227471.621531
1506,191573.752984
1507,254830.70347
1508,196639.371436
1509,163081.965159
1510,144394.163261
1511,147784.116297
1512,173413.053365
1513,142676.731729
1514,147069.896207
1515,191971.654213
1516,151905.741998
1517,160255.073319
1518,132466.600799
1519,211607.710343
1520,132554.452606
1521,135511.065075
1522,178163.178609
1523,112706.221726
1524,126239.808515
1525,123872.686695
1526,114994.355283
1527,106860.85917
1528,140596.803179
1529,148834.776953
1530,185353.752168
1531,108707.516647
1532,96622.7658973
1533,144939.567166
1534,121800.840577
1535,147436.198824
1536,108714.659381
1537,53182.9547893
1538,155622.29872
1539,196330.757625
1540,86862.5531042
1541,139868.389577
1542,138150.726262
1543,197901.959542
1544,83962.6290247
1545,113577.888745
1546,128699.622123
1547,136373.807727
1548,132006.189951
1549,119564.331657
1550,131200.195846
1551,106529.21037
1552,131797.382254
1553,146294.300089
1554,119370.124885
1555,158555.017304
1556,84049.6540118
1557,104167.7401
1558,101544.685178
1559,74296.490561
1560,125917.57925
1561,119279.678657
1562,126410.294006
1563,121694.422118
1564,156313.127954
1565,143052.043093
1566,232721.964135
1567,74947.3094847
1568,237604.797662
1569,121185.186505
1570,142429.192114
1571,121303.795924
1572,147151.644659
1573,230706.02838
1574,108496.578585
1575,223718.775772
1576,244078.063834
1577,176255.822866
1578,146787.648838
1579,142540.373967
1580,190830.583486
1581,149761.883023
1582,125822.74732
1583,311481.393345
1584,223773.228713
1585,139536.914331
1586,70599.5452897
1587,103935.862549
1588,152657.656424
1589,91393.3561995
1590,136897.613002
1591,98683.6448233
1592,111266.870638
1593,124652.659458
1594,119429.678567
1595,105588.034868
1596,231905.478959
1597,190784.283349
1598,216245.016838
1599,160834.612913
1600,155608.098432
1601,61043.9983531
1602,116603.088953
1603,82916.5177386
1604,261650.723239
1605,251753.288448
1606,169161.910619
1607,177979.12316
1608,208854.173753
1609,178222.741268
1610,146133.739009
1611,138550.012589
1612,164004.76437
1613,162138.769066
1614,125981.731642
1615,92515.6919939
1616,82259.3358034
1617,94668.159538
1618,125484.429986
1619,134165.90994
1620,129536.100914
1621,139300.629819
1622,140069.58759
1623,272533.361273
1624,221423.697965
1625,123649.050875
1626,170037.977758
1627,192241.429889
1628,283400.439228
1629,172414.000339
1630,354975.654146
1631,225048.938646
1632,246781.386805
1633,165487.948263
1634,183866.727407
1635,180336.489641
1636,154121.803967
1637,189609.382164
1638,187024.724937
1639,184537.580501
1640,258512.733756
1641,178046.503342
1642,240393.142864
1643,221388.162185
1644,235723.484144
1645,194043.761818
1646,159555.026924
1647,157895.406349
1648,127377.660605
1649,141005.29888
1650,110146.084476
1651,117354.577852
1652,100766.147516
1653,103445.5523
1654,145415.476991
1655,137500.194172
1656,142169.979674
1657,146246.92135
1658,145498.160845
1659,122629.971175
1660,146573.005709
1661,448420.263318
1662,403143.906296
1663,385473.121318
1664,536938.78704
1665,299586.639568
1666,319647.339713
1667,386934.390365
1668,336072.238883
1669,293808.845876
1670,339140.591458
1671,261209.421508
1672,444088.941163
1673,292621.341536
1674,242825.632368
1675,193854.791365
1676,194428.648844
1677,215968.979468
1678,488092.008988
1679,381033.094081
1680,335318.647373
1681,235408.889979
1682,302642.636569
1683,183690.818016
1684,172434.737026
1685,174789.679104
1686,169434.033147
1687,167569.08004
1688,190358.630993
1689,194264.264314
1690,197632.891338
1691,186937.044531
1692,259427.027379
1693,166948.302885
1694,184361.007463
1695,162004.040636
1696,274449.173777
1697,167748.731033
1698,344834.657701
1699,310941.494602
1700,248068.744608
1701,269194.474514
1702,242055.024475
1703,236227.50634
1704,286430.809676
1705,229878.064659
1706,436636.459801
1707,204983.330928
1708,198721.422272
1709,276227.578348
1710,223432.791975
1711,264134.381946
1712,251088.729149
1713,264783.926269
1714,225788.169625
1715,207095.178724
1716,181884.07413
1717,173084.408323
